User,NoiseScale_0.2,NoiseScale_0.3,NoiseScale_0.5,NoiseScale_0.8,NoiseScale_1,NoiseScale_12
user5,0.014673910414179167,0.014883237890899181,0.014573032657305399,0.014463525886336962,0.014208161272108555,0.014381833684941133
user10,0.01529908242324988,0.01577235572040081,0.01591580267995596,0.014400637398163477,0.015125876292586327,0.014549585990607738
user12,0.012162586363653341,0.012086646631360054,0.01196882842729489,0.011824000316361586,0.012582659100492796,0.012286316603422165
user15,0.011057831346988678,0.01042714404563109,0.010209518484771252,0.010747590412696203,0.010716726693014303,0.010618146508932114
user16,0.01467762142419815,0.014470211851100126,0.014423340248564879,0.014674490317702293,0.014836900867521763,0.014537893235683441
user17,0.01819399433831374,0.017707302545507748,0.01818942092359066,0.017684626082579296,0.01827684169014295,0.018512062728405
user21,0.018490987519423168,0.01847679664691289,0.018394161015748978,0.018878135209282238,0.018737738331158955,0.018360746403535206
user22,0.024088634178042412,0.02336718204120795,0.023197185869018238,0.023938533539573353,0.023433702066540718,0.023669801652431488
user25,0.021123236045241356,0.02146110621591409,0.020956289644042652,0.02083745039999485,0.02114647316435973,0.02110403465727965
user26,0.026017386466264725,0.029001510391632717,0.02666461405654748,0.026595815395315487,0.02632412624855836,0.026663985724250477
user28,0.010946093437572321,0.010932934780915579,0.010930847066144148,0.010946384941538176,0.011055933311581612,0.01103746797889471
